alert_id,alert_type,acct_id,acct_name,is_sar,model_id,start,end,schedule_id,bank_id
0,fan_in,51389,51389,True,2,0,1000000,2,bank
0,fan_in,114,114,True,2,0,1000000,2,bank
0,fan_in,15701,15701,True,2,0,1000000,2,bank
0,fan_in,45047,45047,True,2,0,1000000,2,bank
0,fan_in,9332,9332,True,2,0,1000000,2,bank
0,fan_in,44975,44975,True,2,0,1000000,2,bank
0,fan_in,99073,99073,True,2,0,1000000,2,bank
0,fan_in,85740,85740,True,2,0,1000000,2,bank
0,fan_in,20663,20663,True,2,0,1000000,2,bank
1,fan_in,52283,52283,True,2,0,1000000,2,bank
1,fan_in,74144,74144,True,2,0,1000000,2,bank
1,fan_in,47670,47670,True,2,0,1000000,2,bank
1,fan_in,3572,3572,True,2,0,1000000,2,bank
1,fan_in,39439,39439,True,2,0,1000000,2,bank
1,fan_in,91825,91825,True,2,0,1000000,2,bank
1,fan_in,61308,61308,True,2,0,1000000,2,bank
1,fan_in,74143,74143,True,2,0,1000000,2,bank
2,fan_in,50987,50987,True,2,0,1000000,2,bank
2,fan_in,72631,72631,True,2,0,1000000,2,bank
2,fan_in,97995,97995,True,2,0,1000000,2,bank
2,fan_in,5421,5421,True,2,0,1000000,2,bank
2,fan_in,52718,52718,True,2,0,1000000,2,bank
2,fan_in,43858,43858,True,2,0,1000000,2,bank
2,fan_in,54668,54668,True,2,0,1000000,2,bank
2,fan_in,10585,10585,True,2,0,1000000,2,bank
2,fan_in,4697,4697,True,2,0,1000000,2,bank
2,fan_in,15222,15222,True,2,0,1000000,2,bank
3,fan_in,2904,2904,True,2,0,1000000,2,bank
3,fan_in,60708,60708,True,2,0,1000000,2,bank
3,fan_in,52684,52684,True,2,0,1000000,2,bank
3,fan_in,27289,27289,True,2,0,1000000,2,bank
3,fan_in,27882,27882,True,2,0,1000000,2,bank
3,fan_in,77826,77826,True,2,0,1000000,2,bank
3,fan_in,42249,42249,True,2,0,1000000,2,bank
3,fan_in,3513,3513,True,2,0,1000000,2,bank
3,fan_in,52309,52309,True,2,0,1000000,2,bank
4,fan_in,3686,3686,True,2,0,1000000,2,bank
4,fan_in,6101,6101,True,2,0,1000000,2,bank
4,fan_in,67502,67502,True,2,0,1000000,2,bank
4,fan_in,1714,1714,True,2,0,1000000,2,bank
4,fan_in,36810,36810,True,2,0,1000000,2,bank
4,fan_in,38571,38571,True,2,0,1000000,2,bank
5,fan_in,3537,3537,True,2,0,1000000,2,bank
5,fan_in,28113,28113,True,2,0,1000000,2,bank
5,fan_in,17470,17470,True,2,0,1000000,2,bank
5,fan_in,71077,71077,True,2,0,1000000,2,bank
5,fan_in,1115,1115,True,2,0,1000000,2,bank
5,fan_in,8800,8800,True,2,0,1000000,2,bank
5,fan_in,34596,34596,True,2,0,1000000,2,bank
5,fan_in,63048,63048,True,2,0,1000000,2,bank
5,fan_in,95016,95016,True,2,0,1000000,2,bank
6,fan_in,1357,1357,True,2,0,1000000,2,bank
6,fan_in,74624,74624,True,2,0,1000000,2,bank
6,fan_in,27321,27321,True,2,0,1000000,2,bank
6,fan_in,12022,12022,True,2,0,1000000,2,bank
6,fan_in,23080,23080,True,2,0,1000000,2,bank
6,fan_in,96744,96744,True,2,0,1000000,2,bank
6,fan_in,91278,91278,True,2,0,1000000,2,bank
6,fan_in,97378,97378,True,2,0,1000000,2,bank
6,fan_in,52588,52588,True,2,0,1000000,2,bank
7,fan_in,3361,3361,True,2,0,1000000,2,bank
7,fan_in,71769,71769,True,2,0,1000000,2,bank
7,fan_in,9452,9452,True,2,0,1000000,2,bank
7,fan_in,88959,88959,True,2,0,1000000,2,bank
7,fan_in,23358,23358,True,2,0,1000000,2,bank
7,fan_in,51796,51796,True,2,0,1000000,2,bank
7,fan_in,1921,1921,True,2,0,1000000,2,bank
7,fan_in,83528,83528,True,2,0,1000000,2,bank
7,fan_in,34434,34434,True,2,0,1000000,2,bank
8,fan_in,2838,2838,True,2,0,1000000,2,bank
8,fan_in,2413,2413,True,2,0,1000000,2,bank
8,fan_in,28387,28387,True,2,0,1000000,2,bank
8,fan_in,49921,49921,True,2,0,1000000,2,bank
8,fan_in,4396,4396,True,2,0,1000000,2,bank
8,fan_in,47368,47368,True,2,0,1000000,2,bank
9,fan_in,3170,3170,True,2,0,1000000,2,bank
9,fan_in,68541,68541,True,2,0,1000000,2,bank
9,fan_in,64649,64649,True,2,0,1000000,2,bank
9,fan_in,1498,1498,True,2,0,1000000,2,bank
9,fan_in,12042,12042,True,2,0,1000000,2,bank
9,fan_in,96613,96613,True,2,0,1000000,2,bank
9,fan_in,74834,74834,True,2,0,1000000,2,bank
10,fan_in,51529,51529,True,2,0,1000000,2,bank
10,fan_in,31594,31594,True,2,0,1000000,2,bank
10,fan_in,96916,96916,True,2,0,1000000,2,bank
10,fan_in,79004,79004,True,2,0,1000000,2,bank
10,fan_in,5811,5811,True,2,0,1000000,2,bank
10,fan_in,79284,79284,True,2,0,1000000,2,bank
11,fan_in,52159,52159,True,2,0,1000000,2,bank
11,fan_in,33880,33880,True,2,0,1000000,2,bank
11,fan_in,31355,31355,True,2,0,1000000,2,bank
11,fan_in,23218,23218,True,2,0,1000000,2,bank
11,fan_in,2634,2634,True,2,0,1000000,2,bank
12,fan_in,3001,3001,True,2,0,1000000,2,bank
12,fan_in,71341,71341,True,2,0,1000000,2,bank
12,fan_in,22950,22950,True,2,0,1000000,2,bank
12,fan_in,26729,26729,True,2,0,1000000,2,bank
12,fan_in,3927,3927,True,2,0,1000000,2,bank
12,fan_in,19883,19883,True,2,0,1000000,2,bank
12,fan_in,93865,93865,True,2,0,1000000,2,bank
12,fan_in,30944,30944,True,2,0,1000000,2,bank
12,fan_in,75526,75526,True,2,0,1000000,2,bank
13,fan_in,52540,52540,True,2,0,1000000,2,bank
13,fan_in,83483,83483,True,2,0,1000000,2,bank
13,fan_in,85604,85604,True,2,0,1000000,2,bank
13,fan_in,58002,58002,True,2,0,1000000,2,bank
13,fan_in,72057,72057,True,2,0,1000000,2,bank
13,fan_in,96203,96203,True,2,0,1000000,2,bank
13,fan_in,85526,85526,True,2,0,1000000,2,bank
13,fan_in,36393,36393,True,2,0,1000000,2,bank
14,fan_in,54337,54337,True,2,0,1000000,2,bank
14,fan_in,53566,53566,True,2,0,1000000,2,bank
14,fan_in,7355,7355,True,2,0,1000000,2,bank
14,fan_in,80769,80769,True,2,0,1000000,2,bank
14,fan_in,56153,56153,True,2,0,1000000,2,bank
14,fan_in,40602,40602,True,2,0,1000000,2,bank
14,fan_in,16126,16126,True,2,0,1000000,2,bank
15,fan_in,470,470,True,2,0,1000000,2,bank
15,fan_in,92577,92577,True,2,0,1000000,2,bank
15,fan_in,80925,80925,True,2,0,1000000,2,bank
15,fan_in,36938,36938,True,2,0,1000000,2,bank
15,fan_in,18409,18409,True,2,0,1000000,2,bank
15,fan_in,65071,65071,True,2,0,1000000,2,bank
16,fan_in,3204,3204,True,2,0,1000000,2,bank
16,fan_in,17528,17528,True,2,0,1000000,2,bank
16,fan_in,4953,4953,True,2,0,1000000,2,bank
16,fan_in,17193,17193,True,2,0,1000000,2,bank
16,fan_in,8931,8931,True,2,0,1000000,2,bank
16,fan_in,34461,34461,True,2,0,1000000,2,bank
17,fan_in,50160,50160,True,2,0,1000000,2,bank
17,fan_in,7406,7406,True,2,0,1000000,2,bank
17,fan_in,99487,99487,True,2,0,1000000,2,bank
17,fan_in,31499,31499,True,2,0,1000000,2,bank
17,fan_in,49721,49721,True,2,0,1000000,2,bank
17,fan_in,79360,79360,True,2,0,1000000,2,bank
17,fan_in,86356,86356,True,2,0,1000000,2,bank
17,fan_in,14107,14107,True,2,0,1000000,2,bank
17,fan_in,88057,88057,True,2,0,1000000,2,bank
18,fan_in,4349,4349,True,2,0,1000000,2,bank
18,fan_in,73004,73004,True,2,0,1000000,2,bank
18,fan_in,20540,20540,True,2,0,1000000,2,bank
18,fan_in,76799,76799,True,2,0,1000000,2,bank
18,fan_in,29701,29701,True,2,0,1000000,2,bank
18,fan_in,40338,40338,True,2,0,1000000,2,bank
19,fan_in,2645,2645,True,2,0,1000000,2,bank
19,fan_in,65196,65196,True,2,0,1000000,2,bank
19,fan_in,24568,24568,True,2,0,1000000,2,bank
19,fan_in,93410,93410,True,2,0,1000000,2,bank
19,fan_in,52448,52448,True,2,0,1000000,2,bank
19,fan_in,77904,77904,True,2,0,1000000,2,bank
19,fan_in,94133,94133,True,2,0,1000000,2,bank
20,fan_in,1601,1601,True,2,0,1000000,2,bank
20,fan_in,1423,1423,True,2,0,1000000,2,bank
20,fan_in,18011,18011,True,2,0,1000000,2,bank
20,fan_in,47821,47821,True,2,0,1000000,2,bank
20,fan_in,94347,94347,True,2,0,1000000,2,bank
20,fan_in,46522,46522,True,2,0,1000000,2,bank
20,fan_in,30160,30160,True,2,0,1000000,2,bank
20,fan_in,55841,55841,True,2,0,1000000,2,bank
20,fan_in,36563,36563,True,2,0,1000000,2,bank
21,fan_in,50164,50164,True,2,0,1000000,2,bank
21,fan_in,30922,30922,True,2,0,1000000,2,bank
21,fan_in,58076,58076,True,2,0,1000000,2,bank
21,fan_in,15151,15151,True,2,0,1000000,2,bank
21,fan_in,73228,73228,True,2,0,1000000,2,bank
22,fan_in,3189,3189,True,2,0,1000000,2,bank
22,fan_in,8675,8675,True,2,0,1000000,2,bank
22,fan_in,81430,81430,True,2,0,1000000,2,bank
22,fan_in,77255,77255,True,2,0,1000000,2,bank
22,fan_in,77361,77361,True,2,0,1000000,2,bank
